title,address,price,bedrooms,bathrooms,area,area_lot
,"7507 Graystone Dr, West Hills, CA 91304","$1,295,000",5 bed,4 bath,"3,085 sqft",0.27 acre lot
,"13020 Maxella Ave Unit 7, Marina del Rey, CA 90292","$869,000",2 bed,2 bath,"1,057 sqft",8.95 acre lot
,"4222 Creed Ave, Los Angeles, CA 90008","$1,099,000",6 bed,4 bath,"2,988 sqft","4,400 sqft lot"
,"6020 Seabluff Dr Unit 431, Playa Vista, CA 90094","$969,000",2 bed,2.5 bath,"1,640 sqft",2.11 acre lot
,"4670 Don Lorenzo Dr Apt A, Baldwin Hills, CA 90008","$619,000",2 bed,2.5 bath,"1,079 sqft",3.24 acre lot
,"22046 De La Osa St, Woodland Hills, CA 91364","$799,000",3 bed,2 bath,"1,350 sqft","6,277 sqft lot"
,"3914 Brilliant Dr, Los Angeles, CA 90065","$1,299,000",3 bed,2.5 bath,"2,451 sqft","6,307 sqft lot"
,"5065 Pickford St, Los Angeles, CA 90019","$1,849,000",6 bed,4 bath,"3,993 sqft","5,624 sqft lot"
,"1166 Linda Flora Dr, Los Angeles, CA 90049","$4,650,000",6 bed,8.5+ bath,"17,583 sqft",1.25 acre lot
,"24365 W Stone Bend Ln, Los Angeles, CA 91304","$1,335,990",4 bed,4.5 bath,"3,279 sqft",0.37 acre lot
,"7473 Mulholland Dr, Los Angeles, CA 90046","$1,795,000",3 bed,2.5 bath,"2,046 sqft","5,915 sqft lot"
,"12542 W Fielding Cir Apt 6, Playa Vista, CA 90094","$1,800,000",3 bed,3 bath,"1,871 sqft","8,519 sqft lot"
,"1056 S St Andrews Pl, Los Angeles, CA 90019","$1,399,000",4 bed,4 bath,"2,019 sqft","9,196 sqft lot"
,"4740 Arcola Ave, Toluca Lake, CA 91602","$1,695,000",3 bed,3 bath,"2,253 sqft",0.24 acre lot
,"1834 Echo Park Ave, Los Angeles, CA 90026","$1,200,000",3 bed,2 bath,,"6,976 sqft lot"
,"102 N Oxford Ave, Los Angeles, CA 90004","$1,600,000",4 bed,2 bath,"5,517 sqft","7,275 sqft lot"
,"4228 Farmdale Ave, Studio City, CA 91604","$2,995,000",5 bed,4.5 bath,"3,944 sqft","6,753 sqft lot"
,"3296 Inglewood Blvd, Los Angeles, CA 90066","$2,650,000",5 bed,3 bath,"2,350 sqft","7,492 sqft lot"
,"4122 Vantage Ave, Studio City, CA 91604","$2,275,000",5 bed,3.5 bath,"4,120 sqft","6,970 sqft lot"
,"3316 W 63rd St, Los Angeles, CA 90043","$1,750,000",14 bed,14 bath,"8,015 sqft","8,999 sqft lot"
,"12494 Rubens Ave, Los Angeles, CA 90066","$1,695,000",4 bed,3 bath,"2,142 sqft","5,000 sqft lot"
,"1339 Appleton Way, Venice, CA 90291","$2,600,000",6 bed,3 bath,"2,035 sqft",0.25 acre lot
,"1340 N Sycamore Ave, Hollywood, CA 90028","$1,349,000",3 bed,3.5 bath,"2,273 sqft","1,299 sqft lot"
,"12695 W Bluff Creek Dr, Playa Vista, CA 90094","$2,598,000",4 bed,3.5 bath,"2,688 sqft","1,950 sqft lot"
,"1106 Fiske St, Pacific Palisades, CA 90272","$6,750,000",7 bed,8 bath,"6,300 sqft","6,499 sqft lot"
